Confidence Level,Model,PICP,PINAW,ACE,AWE,Lower Bounds,Upper Bounds
0.6,BiLSTM,100,15.682561,40,1431.843348,"[-549.1209995269776, -290.666351890564, -523.8444114685059, -626.9847045898438, -76.87217783927917, -801.6451889038086, -93.52773790359497, -88.25657787322999, -434.3479717254639, -67.89006009101868, -325.2327281951904, -308.4134574890137, -306.7535493850708, -265.1749050140381, -590.0522357940674, -600.5306087493897, -791.0763984680176, -79.78936896324157, -1231.921849822998, -75.79595108032227, -86.75493545532227, -242.56482276916503, -80.30683088302612, -98.71342763900756, -468.4386039733887, -94.93737335205078, -183.18540554046632, -454.4654056549072, -98.73310899734497, -590.2733211517334, -151.9279275894165, -96.8849799156189, -87.01282739639282, -78.43276133537293, -128.17049446105958, -102.62429971694947, -83.15790977478028, -76.77753968238831, -111.51567878723145, -117.15169677734374, -86.1131501197815, -76.22331705093384, -613.9625679016114, -107.26603813171387, -95.18291358947754, -174.42046051025392, -97.73480024337769, -80.02012677192688, -159.85843391418456, -137.44855718612672, -87.62373714447021, -367.45692176818847, -302.7317497253418, -1021.3491203308106, -72.01173496246338, -379.83796844482424, -155.246142578125, -146.11256580352784, -800.535799407959, -405.5131149291992, -98.32380571365357, -952.5786209106445, -76.71375222206116, -741.9617973327637]","[2045.6794372558593, 1280.9575897216796, 1964.8332427978517, 2264.6793579101563, 533.8220199584961, 2763.084912109375, 606.5093338012696, 584.8442825317383, 1708.4221313476562, 495.04013977050784, 1383.0740661621094, 1342.842074584961, 1329.5546508789062, 1202.7485961914062, 2165.4052490234376, 2189.931988525391, 2747.1072509765627, 547.1254135131836, 3971.8515747070314, 530.6399765014648, 576.8841735839844, 1132.640817260742, 549.0460479736328, 627.2538177490235, 1810.8196960449218, 611.3631881713867, 937.0254760742188, 1766.567056274414, 628.0666107177734, 2157.5090576171874, 828.4792358398438, 620.5029953002929, 578.9976745605469, 543.0598205566406, 744.4312683105469, 643.5566619873047, 561.2187637329101, 535.6054931640625, 676.9645202636718, 701.7863555908203, 574.1746810913086, 532.2891830444336, 2233.185791015625, 662.6536285400391, 613.5563613891602, 907.3353759765625, 621.3044921875, 548.2683395385742, 858.7848205566406, 776.1145843505859, 581.5294906616211, 1509.506527709961, 1324.8472930908204, 3382.2908142089846, 513.5340850830078, 1553.3744140625, 842.8007080078125, 807.5903198242188, 2759.141485595703, 1625.124789428711, 626.4277084350585, 3211.784320068359, 534.251675415039, 2593.2971801757812]"
0.6,CNN,100,4.206444894,40,312.6925061,"[-162.38350601196288, -160.74402351379393, -161.1558795928955, -162.22020988464357, -157.97171173095703, -162.71826133728027, -159.12520446777344, -159.28102226257323, -161.57266120910646, -158.39742126464844, -160.44654121398926, -163.63769302368163, -161.17029914855956, -160.68166809082032, -163.47781867980956, -161.97791557312013, -164.25343475341796, -158.29683570861818, -163.5705940246582, -158.74230918884277, -158.60559883117676, -160.69863662719726, -158.11438064575196, -158.94784622192384, -162.35794677734376, -158.7547149658203, -160.24622764587403, -161.54196891784667, -159.43782577514648, -161.6774803161621, -159.883215713501, -159.31866226196288, -158.97835998535157, -159.03387413024902, -160.55781898498535, -159.30499038696288, -158.18666191101073, -158.98861083984374, -158.88847579956055, -160.02192344665528, -158.61877059936523, -158.56718940734862, -163.18121261596679, -159.68122062683105, -159.3152660369873, -160.20293006896972, -158.2661106109619, -158.43857345581054, -160.67744483947754, -159.64047889709474, -158.9731300354004, -160.69650650024414, -163.06865997314452, -162.7446304321289, -158.23295783996582, -162.64169692993164, -160.9595634460449, -159.72923698425294, -162.13335189819335, -161.72376098632813, -159.4340305328369, -164.552405166626, -158.5319881439209, -162.55650787353517]","[276.07520523071287, 266.1697006225586, 284.14940185546874, 288.8950553894043, 218.91261291503906, 298.13061065673827, 226.38507537841798, 222.79889297485352, 276.79044876098635, 213.87464141845703, 267.28541870117186, 261.4951850891113, 267.38098831176757, 259.9739570617676, 289.39867706298827, 286.9420639038086, 289.67638702392577, 220.0406852722168, 314.6915344238281, 217.30278854370118, 223.2505859375, 253.48860778808594, 219.04820404052734, 226.8571975708008, 280.7316246032715, 226.39818115234374, 248.298583984375, 279.20664291381837, 226.614737701416, 289.3935272216797, 241.50915603637696, 226.00567092895508, 222.38042526245118, 217.81018295288087, 236.88157501220704, 228.17231521606445, 221.51951217651367, 216.6398452758789, 227.6821258544922, 230.4268653869629, 223.76685791015626, 217.01920700073242, 287.4824699401855, 230.89804916381837, 225.61012115478516, 246.64981231689453, 227.72144012451173, 219.2064125061035, 244.18971633911133, 239.4304641723633, 222.17168273925782, 271.1503479003906, 263.9176528930664, 305.45592193603517, 214.05999984741212, 274.03783187866213, 242.30935440063476, 241.2333076477051, 298.40013275146487, 273.3365562438965, 226.25095443725587, 290.331957244873, 216.74998397827147, 295.5978271484375]"
0.6,GRU,100,2.35502901,40,132.142429,"[-24.84130835533142, -20.460820341110228, -26.915276098251343, -27.651267051696777, -10.046613131463527, -30.403564548492433, -11.058440825343132, -10.4063044577837, -24.124793124198913, -8.700304797291755, -22.04652044773102, -18.51198035478592, -20.97284905910492, -19.47260558605194, -25.612166571617127, -26.93215470314026, -26.268792629241943, -10.188874626159668, -35.531869411468506, -9.409183602314442, -10.849198280274868, -18.299434304237366, -10.272689506411552, -11.566705870814621, -24.205300116539, -11.412569748982786, -16.49500161409378, -24.714982795715333, -11.309566677361726, -27.675555562973024, -15.033143961429596, -11.195527425408363, -10.489348977804184, -9.41275247070007, -12.95355976074934, -11.74765687379986, -10.634385687112808, -9.287540110573172, -12.640986323356628, -12.245684468001127, -10.799666991829872, -9.487204213812948, -25.918286514282226, -11.906667288579047, -11.070963849127292, -16.072942090034484, -12.07353875413537, -10.150823968648911, -14.805526345968246, -14.226290607452393, -10.55786016881466, -23.096354699134828, -18.76198958158493, -33.18663787841797, -9.110777001176029, -21.73782353401184, -14.476903188228608, -14.73789690732956, -30.455526733398436, -23.000892543792723, -11.273309018462896, -26.19437885284424, -9.605556802451611, -29.599958419799805]","[255.98402099609376, 231.4461524963379, 268.2738121032715, 273.2189575195313, 169.1169235229492, 290.5271789550781, 176.04573745727538, 171.96363220214843, 252.38848648071288, 161.83757095336915, 238.85679092407227, 221.29349899291992, 234.00165939331055, 225.20601348876954, 264.5948684692383, 269.2633285522461, 268.81012496948244, 170.27691345214845, 323.7257476806641, 165.88705596923828, 174.09559707641603, 217.92565536499023, 170.28745040893554, 178.45510635375976, 254.604541015625, 177.51084213256837, 207.16320419311523, 255.95546035766603, 177.166495513916, 273.4459594726562, 198.48479919433595, 176.50780334472657, 172.19279708862305, 166.18240127563476, 187.9040756225586, 179.73167037963867, 172.7006362915039, 165.2643730163574, 183.05983352661133, 182.4139389038086, 173.97650604248048, 166.0615348815918, 264.792520904541, 181.1429573059082, 175.87996368408204, 204.80568771362306, 180.73031768798828, 169.9305076599121, 198.37261810302735, 193.98754272460937, 172.49517364501952, 245.32030792236327, 223.21732864379882, 306.51305999755857, 163.77819747924804, 240.64286727905272, 196.37040100097656, 196.94829254150392, 290.2064605712891, 245.54423980712892, 176.92739639282226, 270.38214950561525, 166.60337982177734, 285.6897590637207]"
0.6,LSTM,100,2.858183847,40,181.2100888,"[-58.64886510372162, -52.92934868335724, -55.44105076789856, -57.97745995521545, -43.38383328914642, -59.658224201202394, -45.598919129371644, -45.47524087429046, -55.52254753112793, -43.4877051115036, -52.63247864246368, -55.89394652843475, -53.05874578952789, -52.78352382183075, -58.97563800811768, -58.0163938999176, -62.5356725692749, -43.972139549255374, -63.396185874938965, -44.231674540042874, -44.39797465801239, -52.76341547966003, -43.91273980140686, -45.78892388343811, -56.766171503067014, -45.20823063850403, -49.91895411014557, -55.57791023254394, -46.15857937335968, -56.76813533306122, -48.5471694946289, -46.043028354644775, -45.04932007789612, -44.98775165081024, -48.69928195476532, -46.33420023918152, -43.96520075798035, -44.78567752838135, -46.040746569633484, -47.88065769672394, -44.29259896278381, -44.167105770111085, -59.2524332523346, -46.79415807723999, -45.93828194141388, -49.638024997711184, -44.49640667438507, -44.14392335414887, -49.92615211009979, -47.74908092021942, -45.113132166862485, -53.631014752388, -55.63965547084808, -61.538921213150026, -43.93064061403275, -56.06009442806244, -49.93372359275818, -48.17109942436218, -59.50343465805054, -55.538460326194766, -46.17361154556274, -65.08088779449463, -44.12780092954635, -59.05889949798584]","[257.4498123168945, 237.34625015258788, 248.32681045532226, 256.91330871582034, 200.11519622802734, 263.8198577880859, 208.48009338378907, 207.74099426269532, 247.27245330810547, 199.91121597290038, 236.8985595703125, 246.6674346923828, 238.07797622680664, 236.14480361938476, 259.99476089477537, 256.74372787475585, 271.6294403076172, 202.25603179931642, 277.79200134277346, 202.89613418579103, 204.10735244750975, 235.37644271850587, 202.01137619018556, 209.2499671936035, 251.7093032836914, 207.20634002685546, 225.4769317626953, 247.7816146850586, 210.50005950927735, 253.15849609375, 220.26097946166993, 210.01382064819336, 206.2583122253418, 205.53600616455077, 219.97210083007812, 211.2159439086914, 202.42621231079102, 204.726171875, 210.4943389892578, 216.75754623413087, 203.7684310913086, 202.67198333740234, 260.75001373291013, 213.06055374145507, 209.59551086425782, 224.3885025024414, 204.99152603149415, 202.7916229248047, 224.91897506713866, 217.31395568847657, 206.46654052734374, 240.55470809936523, 245.74068603515624, 270.78078002929686, 201.5170166015625, 248.3730842590332, 224.73641128540038, 218.95030975341797, 263.25935516357424, 246.83274002075194, 210.5051612854004, 278.90886840820315, 202.54333114624023, 261.47645416259763]"
0.7,BiLSTM,100,15.83029715,30,1446.250578,"[-462.2123538970947, -245.80779209136963, -409.172998046875, -504.0110313415527, -77.30950379371643, -643.4270202636719, -92.80943078994751, -88.59454927444457, -353.64662017822263, -70.33267703056336, -265.0463888168335, -278.4715179443359, -256.85293712615965, -228.13206329345704, -497.5497539520264, -487.6863899230957, -693.8959659576416, -80.20544896125793, -994.840193939209, -77.4046838760376, -86.08727116584778, -212.959627532959, -80.4791030883789, -96.84823360443116, -389.0214527130127, -93.27795491218566, -164.21507749557495, -366.99523811340333, -97.45931367874145, -465.9812713623047, -139.70716228485108, -95.88123226165771, -87.07836260795594, -80.32520380020142, -123.58184204101562, -100.55885300636291, -82.79168214797974, -78.74810247421264, -106.44058065414428, -113.78232259750366, -85.51518483161927, -77.64337949752807, -516.4956413269043, -104.88493266105652, -94.45641117095947, -157.66622037887572, -94.42001180648803, -80.53490333557129, -148.80064716339112, -128.1423496246338, -87.59087467193604, -296.864239692688, -272.1344861984253, -819.9276008605957, -73.96738920211791, -325.6258327484131, -145.54701900482178, -134.99742527008056, -639.8518619537354, -335.64306831359863, -97.14798579216003, -854.25552444458, -77.96001725196838, -594.7962535858154]","[2141.185821533203, 1325.2306335449218, 2006.6165344238282, 2338.130895996094, 567.459001159668, 2863.002166748047, 643.1297439575195, 621.2081756591797, 1759.6101501464843, 527.6462997436523, 1421.5101593017578, 1412.2049346923827, 1372.7338958740233, 1250.224755859375, 2253.312579345703, 2264.941729736328, 2907.6793701171873, 581.4513900756835, 4167.972985839844, 564.7737426757812, 612.0633651733399, 1183.5309356689454, 583.6613235473633, 664.7816879272461, 1873.1354187011718, 647.9037139892578, 980.5664733886719, 1816.0115539550782, 665.9353317260742, 2212.0010498046877, 870.4262512207031, 658.1661529541016, 614.88916015625, 578.1672576904297, 786.765380859375, 681.8967758178711, 595.8489974975586, 570.4952850341797, 716.0878372192383, 743.2682434082031, 609.0559600830078, 566.558268737793, 2329.268896484375, 701.3866775512695, 650.944676208496, 950.6285217285156, 657.3191497802734, 582.9188659667968, 903.4771087646484, 816.7322555541992, 617.6392715454101, 1549.8421508789063, 1391.6261169433594, 3535.614221191406, 547.4067413330079, 1615.4585540771484, 887.8981231689453, 848.7733276367187, 2857.9898315429687, 1680.3628845214844, 664.3560623168945, 3425.781903076172, 568.6279083251953, 2681.523797607422]"
0.7,CNN,100,4.094597376,30,301.7851361,"[-159.4759677886963, -158.02653884887695, -160.64739379882812, -161.45634231567382, -154.16452827453614, -162.39785919189453, -154.23233528137206, -154.39328079223634, -160.0349063873291, -153.33725852966307, -160.26978569030763, -158.57634506225585, -159.53969955444336, -157.2597385406494, -159.9793445587158, -161.521155166626, -161.84134368896486, -153.84694786071776, -163.34096908569336, -153.93214836120606, -154.63905906677246, -155.1666217803955, -154.2136142730713, -154.56872444152833, -159.79611511230468, -154.5426441192627, -156.96368865966798, -160.2179702758789, -154.8402069091797, -161.61422576904297, -156.68907470703124, -154.80967903137207, -154.53056602478028, -153.8735137939453, -155.02385215759278, -154.83302841186523, -154.10573348999023, -153.6979679107666, -156.57618942260743, -155.84199333190918, -154.37190895080568, -154.17239532470703, -161.56061134338378, -154.98284568786622, -154.52583389282228, -157.1045307159424, -155.14544067382812, -153.99159202575683, -156.46790885925293, -156.08242683410646, -154.45459327697753, -159.87867317199706, -157.66587448120117, -163.40644073486328, -153.51626739501953, -158.24321212768555, -156.4757080078125, -156.51055183410645, -162.61853485107423, -160.07902145385742, -154.89891357421874, -162.55150451660157, -154.2842716217041, -162.1790843963623]","[265.3357467651367, 258.0224609375, 275.07262115478517, 279.8037902832031, 210.93979110717774, 290.08412475585936, 219.14269104003907, 216.05024490356445, 268.0604522705078, 206.70503005981445, 258.90970916748046, 256.8587135314941, 260.0894905090332, 251.2758987426758, 282.0118019104004, 278.52488021850587, 283.31091384887696, 212.12017517089845, 305.87576446533205, 210.45487060546876, 215.70682754516602, 244.1535758972168, 211.0504577636719, 219.18106689453126, 273.337084197998, 218.62663726806642, 240.17808837890624, 270.3850517272949, 219.79572677612305, 280.78511199951174, 234.14571685791014, 218.9362014770508, 215.42290267944335, 211.24328231811523, 230.1885498046875, 220.61028747558595, 213.58594970703126, 209.67334899902343, 220.19342727661132, 223.98277435302734, 216.1622573852539, 210.0577308654785, 279.6367248535156, 224.29028930664063, 218.4294792175293, 239.13710708618163, 219.59100570678712, 211.3204261779785, 237.69575881958008, 231.99018630981445, 215.01293029785157, 261.8731636047363, 257.50833358764646, 295.4597930908203, 206.38531417846679, 266.60564880371095, 235.77916259765624, 233.93955688476564, 289.42091369628906, 264.8964729309082, 219.31031494140626, 284.2446823120117, 209.8062255859375, 287.15716857910155]"
0.7,GRU,100,2.413071921,30,137.8027737,"[-33.61576957702637, -28.70005543231964, -36.10071172714233, -37.04063048362732, -16.539191287755965, -40.47962021827698, -17.83873775601387, -17.053218656778334, -32.888697385787964, -15.100096792727708, -30.257498216629028, -26.59745581150055, -29.219689583778383, -27.488172101974488, -35.15824956893921, -36.23394966125488, -35.95390362739563, -16.75032941699028, -47.126189422607425, -15.885868848860264, -17.493506568670274, -26.0595103263855, -16.772896951436998, -18.332245427370072, -33.24616236686707, -18.150923824310304, -23.950525999069214, -33.59672036170959, -18.068405348062516, -37.09120254516601, -22.25361297130585, -17.94152370095253, -17.110350662469862, -15.931022728979588, -20.11258523464203, -18.571589773893358, -17.22990163564682, -15.760983888804912, -19.29714315533638, -19.093961304426195, -17.46235161423683, -15.931499026715755, -35.25505623817444, -18.821602702140808, -17.81582013964653, -23.483105635643007, -18.809238201379777, -16.68856011927128, -22.17259064912796, -21.36142600774765, -17.174178260564805, -31.532998466491698, -26.974614953994752, -43.72505693435669, -15.4956676363945, -30.439389133453368, -21.78463203907013, -21.943580973148347, -40.43307466506958, -31.519669437408446, -18.023674350976943, -36.19433236122131, -16.04438358992338, -39.51332030296326]","[252.49661254882812, 228.64995880126952, 264.2672317504883, 269.26502380371096, 168.15985412597655, 286.306575012207, 175.00807723999023, 171.0619323730469, 248.9266044616699, 161.24835891723632, 235.5844627380371, 219.2956672668457, 231.09020080566407, 222.54337005615236, 261.4191719055176, 265.4584190368652, 265.9062126159668, 169.32450180053712, 319.250634765625, 165.15735778808593, 173.0060173034668, 215.47644958496093, 169.2768127441406, 177.25501251220703, 251.36126327514648, 176.3280387878418, 204.99969558715821, 252.39805603027344, 176.06862411499023, 269.4445625305176, 196.5850814819336, 175.4260139465332, 171.23336791992188, 165.4936408996582, 186.60938034057617, 178.52237243652343, 171.63038330078126, 164.58209228515625, 181.52265243530275, 181.15435409545898, 172.91309280395507, 165.29063110351564, 261.4162094116211, 179.97309112548828, 174.82885665893554, 202.73329696655273, 179.32513580322265, 168.97879333496093, 196.6863784790039, 192.26621856689454, 171.5087547302246, 241.89152755737305, 221.10712738037108, 301.93786773681643, 163.06212692260743, 237.90558166503905, 194.74451141357423, 195.12170867919923, 285.92481842041013, 242.30003128051757, 175.83237533569337, 268.0852668762207, 165.7860336303711, 281.5512153625488]"
0.7,LSTM,100,2.54457329,30,150.6267873,"[-35.693980400264266, -30.173408246040346, -33.01506571769714, -35.453812995553015, -22.25703231096268, -37.54985722899437, -23.80457882285118, -23.634617856144907, -32.72179765328765, -22.14739382863045, -30.08974664658308, -32.56208585575223, -30.361128817498685, -29.854108963906764, -36.43645739853382, -35.415434846282004, -40.51184188723564, -22.629307906329633, -42.263571318984035, -22.707043212652206, -22.995463520288467, -29.63767653852701, -22.582028777897357, -23.95800351500511, -33.96036710441113, -23.579196670651434, -27.391171072609723, -32.86129443645477, -24.190009757876396, -34.347870379686356, -26.254719887673854, -24.089684709906578, -23.363591530919074, -23.17697220593691, -26.135352037847042, -24.3371789932251, -22.683195100724696, -23.018713669478892, -24.226194697618485, -25.443571695685385, -22.940205910801886, -22.66783573925495, -36.68369297683239, -24.716227966547013, -24.00558292865753, -27.1493727799505, -23.21540599167347, -22.71328786611557, -27.23344819024205, -25.63798698335886, -23.399592635035514, -30.982219400443135, -32.30517798513174, -39.82923322319984, -22.427053441107272, -33.02982729719952, -27.180271293967962, -25.984009405970575, -37.36859337091446, -32.5990931712091, -24.18638930618763, -43.47310065031051, -22.646487537026406, -36.821011579036714]","[246.52324600219725, 227.38698120117186, 238.09850845336913, 246.22373580932617, 194.9081153869629, 252.95247802734374, 201.7672019958496, 201.05471496582032, 236.82980651855468, 194.5019660949707, 227.17167205810546, 235.79419479370117, 228.11067428588868, 226.15901107788085, 248.97288970947267, 246.0027847290039, 259.86094131469724, 196.6292724609375, 266.30371551513673, 197.0103317260742, 198.23269119262696, 225.3087600708008, 196.4335823059082, 202.44705810546876, 241.01665191650392, 200.80033950805665, 216.5380516052246, 237.36622009277343, 203.41904678344727, 242.6881118774414, 211.96806411743165, 203.0010887145996, 199.88121337890624, 199.10368804931642, 211.415478515625, 204.05314102172852, 196.846199798584, 198.42655334472656, 203.60899505615234, 208.6294075012207, 197.9682357788086, 196.83944702148438, 249.7060775756836, 205.60561981201172, 202.64412841796874, 215.56374588012696, 199.159765625, 197.03370742797853, 215.83727111816407, 209.441552734375, 200.04855041503907, 230.55568313598633, 234.92599487304688, 259.6538909912109, 195.81826477050782, 237.65979461669923, 215.6211380004883, 210.8595344543457, 252.43642349243163, 236.31373291015626, 203.4098892211914, 266.69873962402346, 196.74851608276367, 250.68868865966797]"
0.8,BiLSTM,100,16.91120777,20,1551.660981,"[-497.9065372467041, -269.2895732879639, -453.06217498779296, -549.7123023986817, -85.09729270935058, -698.9743904113769, -101.71466274261475, -96.92757234573364, -386.6604164123535, -76.65840644836426, -294.0828380584717, -294.50833015441896, -281.63843154907227, -250.25139770507812, -528.5660865783691, -529.6947013854981, -722.2935302734375, -88.1410367012024, -1062.7776466369628, -84.5907940864563, -94.79470148086548, -233.56390914916992, -88.6704888343811, -106.63155574798584, -419.1328544616699, -102.77154140472412, -181.54192142486573, -401.8499294281006, -106.92419109344482, -511.78518295288086, -154.61103801727296, -105.18421020507813, -95.50534219741822, -87.54427919387817, -134.87541370391847, -110.53495254516602, -91.24760971069335, -85.90448255538941, -118.38006572723388, -124.83223114013671, -94.09525327682495, -84.99667415618896, -550.8923286437988, -114.91003913879395, -103.55404644012451, -174.1565143585205, -104.76618366241455, -88.50758991241455, -162.82196426391602, -141.695046043396, -96.13721094131469, -328.53639793395996, -288.8887321472168, -888.2856376647949, -80.94883947372436, -348.4381469726562, -159.14555263519287, -149.33397083282472, -697.1317924499511, -365.57458000183107, -106.58788223266602, -872.8294845581055, -85.45446853637695, -647.2036125183106]","[2298.312121582031, 1417.1961669921875, 2120.8517944335936, 2482.56650390625, 601.9689254760742, 3027.2138488769533, 685.0523849487305, 661.8531494140625, 1876.7064453125, 560.0472564697266, 1513.5711212158203, 1526.2286285400392, 1466.686962890625, 1339.7338500976562, 2414.616339111328, 2411.034796142578, 3133.938684082031, 617.5329895019531, 4370.489318847656, 600.3600875854493, 650.436067199707, 1271.2057220458985, 619.8827438354492, 708.3207412719727, 2003.5568237304688, 689.5009613037109, 1048.9254821777345, 1933.6108459472657, 710.2218597412109, 2340.3523681640627, 930.0656127929688, 701.8208511352539, 654.5108749389649, 615.6268661499023, 842.5221405029297, 727.3192138671875, 632.6923767089844, 607.2508865356446, 763.0799926757812, 795.2943481445312, 647.0542037963867, 602.215542602539, 2495.741583251953, 748.6314483642578, 693.9926773071289, 1016.8586486816406, 698.1701477050781, 619.3874267578125, 968.4016540527343, 871.858364868164, 657.5426666259766, 1649.7550903320312, 1502.9545288085938, 3718.868212890625, 581.6564987182617, 1735.700048828125, 952.1821533203125, 906.4049621582031, 3019.1022033691406, 1797.6224731445313, 708.595669555664, 3696.4085327148437, 604.3706192016601, 2838.2228881835936]"
0.8,CNN,100,4.156621834,20,307.8337613,"[-157.91413459777831, -158.40384063720703, -158.8531608581543, -158.30851287841796, -157.13570327758788, -158.3647033691406, -157.55125465393067, -157.1461151123047, -158.26788520812988, -156.86364059448243, -157.77935981750488, -158.10785903930665, -157.70113563537598, -158.20053100585938, -158.35410995483397, -157.99835700988768, -156.92957038879393, -157.24378509521483, -158.91136779785157, -156.94374160766603, -157.28585510253907, -158.82884140014647, -157.0719020843506, -157.32452125549315, -158.22480163574218, -157.40041122436523, -157.734041595459, -158.248291015625, -157.28972702026368, -158.24102401733398, -157.65399513244628, -157.0594081878662, -157.01533393859864, -156.8583236694336, -157.50333557128906, -157.29372901916503, -157.35605125427247, -156.8879753112793, -156.78907432556153, -156.73557968139647, -157.51873168945312, -156.90123977661133, -157.65876502990722, -157.5750633239746, -157.21583137512206, -157.54872703552246, -157.5784854888916, -157.07137145996094, -157.3866279602051, -157.5662742614746, -157.146732711792, -158.14066734313965, -157.84308967590331, -158.04089546203613, -156.64475708007814, -158.6647804260254, -157.42861518859863, -157.39687538146973, -157.84323425292968, -157.75711898803712, -157.08429260253905, -156.56548004150392, -156.92664947509766, -158.1448127746582]","[272.07602462768557, 262.22025604248046, 279.33620834350586, 284.03300323486326, 218.55350799560546, 293.5936019897461, 225.8050666809082, 222.72910232543944, 272.6493255615234, 214.5127914428711, 263.39521408081055, 259.31228866577146, 264.3700256347656, 256.5778213500977, 284.9108528137207, 282.0200050354004, 286.7833854675293, 219.824210357666, 308.82408142089844, 217.8399574279785, 222.78949050903321, 251.04159851074218, 218.85996627807617, 226.17944412231446, 276.8542366027832, 225.62268676757813, 245.7478340148926, 274.9303855895996, 226.30012969970704, 284.72436904907227, 239.84407653808594, 225.65558776855468, 222.45640869140624, 218.43936080932616, 236.11150054931642, 227.56941146850585, 221.3027542114258, 217.26603012084962, 226.73436813354493, 230.20503616333008, 223.14885711669922, 217.38176345825195, 282.7370407104492, 230.06521377563476, 225.2676223754883, 244.35558013916017, 226.36044387817384, 219.29532852172852, 242.58767547607422, 237.60516281127929, 222.0225929260254, 266.9169357299805, 260.72436065673827, 300.14561614990237, 214.944734954834, 269.91981048583983, 240.6766372680664, 239.67581939697266, 293.5208251953125, 269.0837989807129, 226.0562530517578, 287.916641998291, 217.15060958862304, 291.65002593994143]"
