Confidence Level,Model,PICP,PINAW,ACE,AWE,Lower Bounds,Upper Bounds
0.9,LSTM,100.0,4.3480789397367205,10.0,326.504658203125,"[-132.90985107421875, -114.07864379882812, -122.55144500732422, -130.57920837402344, -85.37324523925781, -134.97019958496094, -91.15093994140625, -90.68771362304688, -122.81059265136719, -85.3368911743164, -113.18681335449219, -124.34969329833984, -114.59100341796875, -113.39335632324219, -133.68614196777344, -130.76161193847656, -140.83676147460938, -86.80461120605469, -141.17617797851562, -87.32135772705078, -88.03260803222656, -113.14868927001953, -86.62631225585938, -91.65996551513672, -126.99585723876953, -90.17559814453125, -104.07601928710938, -123.00482177734375, -92.6385726928711, -126.83513641357422, -99.85028076171875, -92.28628540039062, -89.59590911865234, -89.19336700439453, -100.01168060302734, -93.12493896484375, -86.8837661743164, -88.62081146240234, -92.4656982421875, -97.46917724609375, -87.80347442626953, -87.15776824951172, -134.4441680908203, -94.52206420898438, -91.98635864257812, -103.19918823242188, -88.5347900390625, -87.17321014404297, -103.95030975341797, -97.53797149658203, -89.73828887939453, -116.46168518066406, -123.39429473876953, -138.7082061767578, -86.3780517578125, -124.74195098876953, -103.8912582397461, -98.79344940185547, -134.57601928710938, -122.88231658935547, -92.6485366821289, -143.6200408935547, -87.0567855834961, -133.49588012695312]","[403.0210876464844, 338.82513427734375, 365.88653564453125, 393.8993835449219, 247.09962463378906, 409.8415222167969, 265.6562194824219, 264.2232360839844, 367.3481140136719, 247.11688232421875, 335.5634460449219, 373.68194580078125, 340.4148864746094, 336.739013671875, 405.8372802734375, 394.7191467285156, 434.169677734375, 251.70851135253906, 434.3031921386719, 253.4502716064453, 255.60275268554688, 336.1192626953125, 251.1199493408203, 267.23431396484375, 381.8221130371094, 262.4561462402344, 306.75823974609375, 367.8926086425781, 270.4269714355469, 380.5290222167969, 293.27142333984375, 269.30462646484375, 260.6849060058594, 259.50543212890625, 294.11004638671875, 271.95477294921875, 251.91720581054688, 257.6635437011719, 269.6749572753906, 285.9329833984375, 254.8673858642578, 252.91090393066406, 408.65936279296875, 276.4530334472656, 268.35198974609375, 303.9810791015625, 257.0814514160156, 252.90281677246094, 306.6266784667969, 285.8916320800781, 261.1383972167969, 346.1902770996094, 370.37432861328125, 424.357666015625, 250.43495178222656, 374.4635009765625, 306.4874267578125, 289.8870849609375, 408.30072021484375, 367.8018493652344, 270.4643859863281, 443.6059875488281, 252.5748291015625, 404.3356018066406]"
0.9,LSTM,100.0,4.343245633808289,10.0,326.0333142089844,"[-52.11700439453125, -62.849647521972656, -59.77284240722656, -54.663414001464844, -64.07070922851562, -51.119693756103516, -64.99464416503906, -64.976318359375, -59.33614730834961, -64.13311767578125, -63.20155715942383, -58.20055389404297, -62.74666976928711, -62.933990478515625, -52.0155029296875, -54.4329719543457, -43.32008743286133, -64.36491394042969, -43.54146194458008, -64.49964904785156, -64.55242156982422, -62.898101806640625, -64.34851837158203, -65.06218719482422, -56.98170471191406, -64.8731689453125, -64.937255859375, -59.31804275512695, -65.15977478027344, -57.452945709228516, -65.28227233886719, -65.1323471069336, -64.82860565185547, -64.81724548339844, -65.25601196289062, -65.19234466552734, -64.35789489746094, -64.74617767333984, -65.15857696533203, -65.3629379272461, -64.50041961669922, -64.47601318359375, -51.190391540527344, -65.2640151977539, -65.1036148071289, -65.03350067138672, -64.5894775390625, -64.45285034179688, -64.92469024658203, -65.33284759521484, -64.85466766357422, -62.123050689697266, -58.67633819580078, -46.89811706542969, -64.37310791015625, -58.15379333496094, -64.9205551147461, -65.31749725341797, -51.49313735961914, -59.203670501708984, -65.16529083251953, -39.01571273803711, -64.45851135253906, -52.45629119873047]","[413.3359069824219, 383.2608642578125, 395.8343811035156, 408.6007995605469, 311.7255554199219, 414.3370361328125, 330.9610595703125, 330.1065368652344, 397.6515197753906, 312.96954345703125, 380.8573303222656, 401.5368347167969, 383.8083801269531, 383.0248718261719, 413.2604675292969, 409.1041564941406, 423.5912170410156, 316.9727783203125, 423.06219482421875, 319.46533203125, 320.56573486328125, 383.5872802734375, 316.4656677246094, 332.53399658203125, 403.9370422363281, 327.53125, 363.9865417480469, 397.617919921875, 335.7169189453125, 402.4333190917969, 354.0546875, 334.7848815917969, 326.3955383300781, 326.15850830078125, 355.793212890625, 337.1147155761719, 316.80047607421875, 324.4433898925781, 334.4967956542969, 349.70635986328125, 319.613525390625, 318.891845703125, 414.55810546875, 340.798583984375, 333.92218017578125, 362.0144348144531, 321.1221618652344, 318.5447998046875, 364.4818115234375, 347.9278869628906, 326.9600524902344, 386.9295654296875, 400.2067565917969, 419.75665283203125, 316.9316711425781, 401.2547912597656, 364.7077941894531, 351.1353454589844, 413.78363037109375, 398.24578857421875, 335.8730773925781, 426.3354187011719, 318.5300598144531, 412.3072814941406]"
0.9,LSTM,100.0,3.1212729249849387,10.0,206.86653564453124,"[-57.814537048339844, -50.789920806884766, -53.871395111083984, -56.73008346557617, -31.075653076171875, -58.388389587402344, -36.406829833984375, -36.121726989746094, -54.128231048583984, -31.29987335205078, -50.281307220458984, -54.80479431152344, -50.97414779663086, -50.6353645324707, -57.750816345214844, -56.79092025756836, -61.405113220214844, -32.487342834472656, -61.70293045043945, -33.12959289550781, -33.541866302490234, -50.69319152832031, -32.33182907104492, -36.82794189453125, -55.46099853515625, -35.47328567504883, -45.71332550048828, -54.15459060668945, -37.71936798095703, -55.34988021850586, -42.96916580200195, -37.44081497192383, -35.10334777832031, -34.94225311279297, -43.34992218017578, -38.09543991088867, -32.47865676879883, -34.442378997802734, -37.42160415649414, -41.61073303222656, -33.30221939086914, -32.97097396850586, -58.19359588623047, -39.19396209716797, -37.19386291503906, -45.177825927734375, -33.79405212402344, -32.88623809814453, -45.801116943359375, -41.28850555419922, -35.2438850402832, -51.727569580078125, -54.49181365966797, -60.4710807800293, -32.33514404296875, -54.78374481201172, -45.828880310058594, -42.188175201416016, -58.27128219604492, -54.23670196533203, -37.74674987792969, -61.68165588378906, -32.867103576660156, -57.766780853271484]","[286.7908630371094, 276.7439880371094, 283.30560302734375, 286.7674560546875, 227.84690856933594, 286.2014465332031, 240.8021697998047, 240.05860900878906, 284.1215515136719, 228.39390563964844, 275.1524353027344, 286.0246276855469, 277.1365051269531, 276.31915283203125, 287.0384216308594, 286.9017333984375, 282.3916931152344, 231.2568817138672, 281.9380798339844, 232.7869415283203, 233.80784606933594, 276.4114685058594, 230.83197021484375, 241.76388549804688, 286.44415283203125, 238.479736328125, 263.7757568359375, 284.1208190917969, 243.95480346679688, 285.71661376953125, 256.88800048828125, 243.2738037109375, 237.57046508789062, 237.1804656982422, 258.0119323730469, 244.88125610351562, 231.2335968017578, 235.94398498535156, 243.0402069091797, 253.5021514892578, 233.2508087158203, 232.37693786621094, 286.6409606933594, 247.632568359375, 242.6815948486328, 262.44921875, 234.3917694091797, 232.19500732421875, 264.1561584472656, 252.7275848388672, 237.899169921875, 278.6974792480469, 285.5203857421875, 283.80780029296875, 230.82174682617188, 285.8194580078125, 264.2221374511719, 254.95950317382812, 286.2291259765625, 284.34649658203125, 244.0161895751953, 281.2152404785156, 232.1163787841797, 286.5995788574219]"
0.9,LSTM,100.0,3.1473718381886404,10.0,209.41170166015624,"[-93.6602554321289, -89.76870727539062, -92.06571197509766, -93.74919891357422, -85.31034088134766, -95.49764251708984, -85.91887664794922, -85.79783630371094, -91.60746002197266, -85.11748504638672, -89.88401794433594, -91.06525421142578, -89.93878173828125, -89.4640121459961, -94.3858413696289, -93.66106414794922, -97.76896667480469, -85.43511199951172, -99.40489959716797, -85.38225555419922, -85.63108825683594, -89.22068786621094, -85.43470764160156, -86.03329467773438, -92.44831085205078, -85.89109802246094, -87.95545196533203, -91.76030731201172, -86.09051513671875, -93.01631164550781, -87.30014038085938, -86.03677368164062, -85.71675872802734, -85.52450561523438, -87.00748443603516, -86.17854309082031, -85.50469207763672, -85.462158203125, -86.28144073486328, -86.66866302490234, -85.61066436767578, -85.38262176513672, -94.56761169433594, -86.3462142944336, -85.99015808105469, -87.798583984375, -85.85436248779297, -85.45486450195312, -87.69932556152344, -86.97509002685547, -85.73320007324219, -90.47266387939453, -90.89006805419922, -97.37991333007812, -85.25171661376953, -91.61431884765625, -87.63108825683594, -87.16690063476562, -95.36150360107422, -91.43637084960938, -86.08226776123047, -100.48700714111328, -85.38548278808594, -94.89924621582031]","[267.5396423339844, 227.8109130859375, 249.78176879882812, 267.2253112792969, 174.91415405273438, 283.78814697265625, 184.11138916015625, 182.70321655273438, 246.39859008789062, 173.41696166992188, 227.8759307861328, 243.57151794433594, 229.41514587402344, 224.8025665283203, 274.60919189453125, 266.7090759277344, 307.0559387207031, 176.99862670898438, 320.7632751464844, 176.9639892578125, 179.50360107421875, 222.483642578125, 176.7039337158203, 185.13031005859375, 255.5085906982422, 183.04563903808594, 207.9163360595703, 247.7178955078125, 186.3274383544922, 259.5627136230469, 200.34115600585938, 185.64974975585938, 181.25828552246094, 179.44883728027344, 198.4793243408203, 187.3159942626953, 177.59620666503906, 178.4482879638672, 187.1753387451172, 193.840087890625, 179.2500762939453, 176.7659149169922, 276.27398681640625, 189.78250122070312, 185.10577392578125, 206.25869750976562, 181.53555297851562, 177.34422302246094, 206.1633758544922, 196.4459228515625, 181.43370056152344, 234.111328125, 241.61643981933594, 301.4452209472656, 174.99949645996094, 247.96360778808594, 205.5474395751953, 198.7210235595703, 282.36529541015625, 245.0486297607422, 186.23785400390625, 333.0261535644531, 176.67437744140625, 278.0859680175781]"
0.9,LSTM,100.0,1.6733147650101419,10.0,65.66165588378905,"[2.9784109592437744, 1.9151573181152344, 2.9636828899383545, 3.315403461456299, -0.14354142546653748, 3.881229877471924, 0.14273647964000702, 0.051053788512945175, 2.5998361110687256, -0.31683090329170227, 2.082009792327881, 1.9929791688919067, 2.0026943683624268, 1.746876835823059, 3.2277605533599854, 3.223906993865967, 3.795562744140625, -0.08992656320333481, 5.0445122718811035, -0.16657346487045288, 0.031167661771178246, 1.5828288793563843, -0.0865122452378273, 0.2148699164390564, 2.7627921104431152, 0.16059227287769318, 1.1548703908920288, 2.6892409324645996, 0.2147202044725418, 3.2121012210845947, 0.8649225234985352, 0.18698295950889587, 0.030902914702892303, -0.12049111723899841, 0.612118661403656, 0.27296358346939087, -0.030773935839533806, -0.15303853154182434, 0.3765343129634857, 0.4580543637275696, 0.023060936480760574, -0.16144469380378723, 3.272552967071533, 0.34404256939888, 0.16230399906635284, 1.0804400444030762, 0.20274725556373596, -0.08896435052156448, 0.9500377178192139, 0.714920699596405, 0.039469752460718155, 2.292386531829834, 1.97050940990448, 4.458877086639404, -0.24379459023475647, 2.3810722827911377, 0.9009007215499878, 0.8085789680480957, 3.8677003383636475, 2.463881254196167, 0.20766881108283997, 4.2178635597229, -0.15312890708446503, 3.703994035720825]","[177.39022827148438, 168.09677124023438, 175.60589599609375, 179.3282928466797, 152.46192932128906, 184.2671661376953, 154.89479064941406, 154.29177856445312, 173.421630859375, 151.56570434570312, 168.74330139160156, 170.31320190429688, 168.6851043701172, 166.8551788330078, 180.05596923828125, 178.83802795410156, 186.56692504882812, 152.9634246826172, 195.1892547607422, 152.63783264160156, 153.80201721191406, 165.71783447265625, 152.89639282226562, 155.26962280273438, 175.434814453125, 154.79330444335938, 162.1490020751953, 174.03147888183594, 155.43482971191406, 178.01747131347656, 159.95533752441406, 155.22802734375, 154.0139923095703, 153.1451416015625, 158.71421813964844, 155.801025390625, 153.28399658203125, 152.8605194091797, 156.08346557617188, 157.35464477539062, 153.75726318359375, 152.61158752441406, 180.2666778564453, 156.4705352783203, 155.06295776367188, 161.63677978515625, 154.76283264160156, 152.9892578125, 161.1123809814453, 158.848876953125, 154.05755615234375, 170.4554443359375, 169.97390747070312, 189.22254943847656, 152.00953674316406, 172.73846435546875, 160.79908752441406, 159.5342254638672, 183.9482421875, 172.5513153076172, 155.3854522705078, 192.0809326171875, 152.62208557128906, 182.66641235351562]"
0.9,LSTM,100.0,2.072792428746587,10.0,104.61871765136718,"[-5.688363552093506, -5.661856174468994, -5.34551477432251, -5.494614601135254, -6.0532026290893555, -5.511987209320068, -6.056934833526611, -6.087446212768555, -5.547569274902344, -6.173079967498779, -5.484192848205566, -5.973654747009277, -5.6222076416015625, -5.701403617858887, -5.828451156616211, -5.558193683624268, -6.130725860595703, -6.064581394195557, -5.683285713195801, -6.127313613891602, -6.024803638458252, -5.747878551483154, -6.041007995605469, -6.003017902374268, -5.688918590545654, -6.00053071975708, -5.765189170837402, -5.514675140380859, -6.036191463470459, -5.405911445617676, -5.82381534576416, -6.0435075759887695, -6.065468788146973, -6.1522088050842285, -6.022502899169922, -6.012975692749023, -6.026561737060547, -6.148637294769287, -5.869926929473877, -5.997171401977539, -6.030341148376465, -6.1107258796691895, -5.775521755218506, -6.026682376861572, -6.054195880889893, -5.792323112487793, -5.917919158935547, -6.067287445068359, -5.918625354766846, -5.858977317810059, -6.059415817260742, -5.469653606414795, -5.958525657653809, -5.493128299713135, -6.132442474365234, -5.81242561340332, -5.9405903816223145, -5.836305618286133, -5.462636947631836, -5.601782321929932, -6.038557529449463, -6.4605255126953125, -6.098892688751221, -5.501540184020996]","[228.2524871826172, 202.79248046875, 217.27090454101562, 228.43418884277344, 168.2079620361328, 239.40518188476562, 174.32582092285156, 173.39488220214844, 214.86181640625, 167.22515869140625, 202.9538116455078, 212.4337158203125, 203.8216094970703, 200.8650360107422, 232.7200469970703, 228.0006866455078, 253.51565551757812, 169.6114501953125, 265.0667419433594, 169.58750915527344, 171.26979064941406, 199.3472900390625, 169.419921875, 175.0143585205078, 220.55538940429688, 173.62576293945312, 189.93212890625, 215.7460174560547, 175.7906494140625, 223.53982543945312, 184.99659729003906, 175.34922790527344, 172.43968200683594, 171.2486114501953, 183.72779846191406, 176.45689392089844, 170.00477600097656, 170.5897674560547, 176.37034606933594, 180.71987915039062, 171.0933074951172, 169.4563446044922, 233.8411865234375, 178.05027770996094, 174.99110412597656, 188.84495544433594, 172.61077880859375, 169.85121154785156, 188.72103881835938, 182.4364471435547, 172.5623779296875, 207.0112762451172, 211.27516174316406, 251.5082550048828, 168.3009490966797, 215.54708862304688, 188.32077026367188, 183.927490234375, 238.52078247070312, 213.90249633789062, 175.73602294921875, 270.8549499511719, 169.39895629882812, 235.6184539794922]"
0.9,LSTM,100.0,5.334828152238002,10.0,422.73244140625,"[-155.5024871826172, -143.70901489257812, -149.17254638671875, -154.01577758789062, -106.36486053466797, -155.8570556640625, -116.82261657714844, -116.3798599243164, -149.92340087890625, -107.07469940185547, -142.57505798339844, -151.46910095214844, -143.98326110839844, -143.5966033935547, -155.4290313720703, -154.17269897460938, -158.43081665039062, -109.17399597167969, -158.47158813476562, -110.57523345947266, -111.1258773803711, -143.8875732421875, -108.87887573242188, -117.63650512695312, -152.33827209472656, -114.9085693359375, -134.38462829589844, -149.90821838378906, -119.42683410644531, -151.81634521484375, -129.23907470703125, -118.90939331054688, -114.32891082763672, -114.23506927490234, -130.2583770751953, -120.15032958984375, -109.06791687011719, -113.28192138671875, -118.66975402832031, -127.02680969238281, -110.62554931640625, -110.25423431396484, -155.83816528320312, -122.21569061279297, -118.438232421875, -133.39105224609375, -111.39450073242188, -110.01215362548828, -134.72283935546875, -126.00077819824219, -114.62419128417969, -145.3321075439453, -150.94876098632812, -157.46353149414062, -109.15312194824219, -151.3288116455078, -134.84793090820312, -127.70673370361328, -155.69717407226562, -150.17721557617188, -119.50585174560547, -159.75830078125, -110.0440902709961, -155.22755432128906]","[423.2994689941406, 411.2647399902344, 417.2810363769531, 421.93194580078125, 340.0004577636719, 423.3529357910156, 363.9549865722656, 363.04290771484375, 418.24102783203125, 341.82818603515625, 409.6240234375, 420.115966796875, 411.5794982910156, 411.1777038574219, 423.2413330078125, 422.10540771484375, 425.3297424316406, 346.69696044921875, 425.076416015625, 350.0384216308594, 351.19140625, 411.62738037109375, 345.9971008300781, 365.6729736328125, 420.6179504394531, 359.7124938964844, 397.61090087890625, 418.1929931640625, 369.5155334472656, 419.9224853515625, 388.657958984375, 368.43115234375, 358.5009765625, 358.38836669921875, 390.7101135253906, 371.003662109375, 346.408203125, 356.2550354003906, 367.78265380859375, 384.73590087890625, 350.03338623046875, 349.28570556640625, 423.5424499511719, 375.2596740722656, 367.4389953613281, 395.9638977050781, 351.700927734375, 348.6697998046875, 398.3216247558594, 382.5928649902344, 359.1560974121094, 413.1142883300781, 419.6024169921875, 424.4662780761719, 346.74554443359375, 419.80322265625, 398.5543212890625, 385.8194274902344, 423.2192077636719, 418.56573486328125, 369.68658447265625, 425.9461669921875, 348.7884521484375, 422.87457275390625]"
0.9,LSTM,100.0,2.5789396991682794,10.0,153.97819946289061,"[-16.858253479003906, -13.76375961303711, -14.440346717834473, -16.116086959838867, -11.196220397949219, -17.236520767211914, -11.777463912963867, -11.76479434967041, -14.7926607131958, -11.36358642578125, -13.330121040344238, -15.744860649108887, -13.765189170837402, -13.701692581176758, -17.468740463256836, -16.256933212280273, -20.528549194335938, -11.351304054260254, -19.887035369873047, -11.488486289978027, -11.415363311767578, -13.71276569366455, -11.287631034851074, -11.735241889953613, -15.770370483398438, -11.59043025970459, -12.691913604736328, -14.78273868560791, -11.88405990600586, -15.273526191711426, -12.314870834350586, -11.857397079467773, -11.623064041137695, -11.70266342163086, -12.651336669921875, -11.896552085876465, -11.3042631149292, -11.636954307556152, -11.58710765838623, -12.308162689208984, -11.408708572387695, -11.442584991455078, -17.5246639251709, -12.07605266571045, -11.844815254211426, -12.63722038269043, -11.308369636535645, -11.38283634185791, -12.928074836730957, -12.135823249816895, -11.623559951782227, -13.734780311584473, -15.564936637878418, -18.4030818939209, -11.38846206665039, -15.576923370361328, -12.944621086120605, -12.232338905334473, -17.03522300720215, -14.879972457885742, -11.88581657409668, -22.61484718322754, -11.411441802978516, -16.828792572021484]","[290.605224609375, 247.58319091796875, 267.64837646484375, 286.8009948730469, 193.7942657470703, 302.5538635253906, 203.967529296875, 202.84402465820312, 266.248046875, 193.04747009277344, 246.76004028320312, 266.4158630371094, 248.8830108642578, 245.4495849609375, 295.2898864746094, 286.78076171875, 329.9093322753906, 196.2404327392578, 338.47979736328125, 196.7481689453125, 198.66641235351562, 244.0803985595703, 195.92576599121094, 204.97161865234375, 275.79595947265625, 202.5009002685547, 228.02719116210938, 267.1286315917969, 206.5022430419922, 277.7232666015625, 220.263671875, 205.8321533203125, 201.07212829589844, 199.8050994873047, 219.48922729492188, 207.45477294921875, 196.6031494140625, 198.76197814941406, 206.767333984375, 214.8255615234375, 198.3115997314453, 196.4920196533203, 297.60467529296875, 209.98873901367188, 205.2750701904297, 226.36337280273438, 200.1367950439453, 196.78085327148438, 227.01475524902344, 216.14036560058594, 201.29995727539062, 253.22462463378906, 264.35467529296875, 320.3886413574219, 194.8670654296875, 269.159423828125, 226.65945434570312, 218.4533233642578, 301.1353454589844, 265.6637268066406, 206.47093200683594, 355.8833923339844, 196.34693908691406, 296.9494934082031]"
0.9,LSTM,100.0,2.2791195150473937,10.0,124.73973510742186,"[-87.63357543945312, -66.96263885498047, -78.3678970336914, -87.32662963867188, -37.42974090576172, -95.55635833740234, -42.9427490234375, -42.172264099121094, -76.726318359375, -36.679561614990234, -66.98326110839844, -75.10871124267578, -67.76017761230469, -65.50862884521484, -90.68551635742188, -87.05534362792969, -106.38351440429688, -38.72401809692383, -114.05570983886719, -38.78468704223633, -40.16783142089844, -64.38327026367188, -38.55048370361328, -43.53926467895508, -81.25907897949219, -42.27228927612305, -56.340362548828125, -77.36768341064453, -44.26143264770508, -83.32637786865234, -52.13679122924805, -43.87989044189453, -41.28988265991211, -40.32820510864258, -51.204246520996094, -44.83537673950195, -39.03313446044922, -39.74424362182617, -44.67396926879883, -48.62916946411133, -39.99773406982422, -38.65961456298828, -91.65497589111328, -46.221187591552734, -43.567138671875, -55.42289733886719, -41.253360748291016, -38.96426773071289, -55.41595458984375, -49.917205810546875, -41.40504455566406, -70.32307434082031, -74.18255615234375, -104.56431579589844, -37.66337585449219, -77.40967559814453, -55.1147346496582, -51.19702911376953, -94.89956665039062, -76.05962371826172, -44.22280502319336, -118.58555603027344, -38.60079574584961, -92.7115707397461]","[169.29356384277344, 163.0170135498047, 166.1579132080078, 169.00726318359375, 154.37416076660156, 171.51800537109375, 156.06068420410156, 155.84890747070312, 165.8668670654297, 154.24542236328125, 162.85418701171875, 165.77963256835938, 163.21966552734375, 162.6155242919922, 170.38075256347656, 168.99905395507812, 175.46731567382812, 154.77914428710938, 177.3675994873047, 154.84800720214844, 155.18649291992188, 162.30873107910156, 154.70709228515625, 156.1956024169922, 167.38522338867188, 155.8060302734375, 159.88279724121094, 166.02503967285156, 156.4439697265625, 167.70675659179688, 158.66018676757812, 156.33499145507812, 155.56130981445312, 155.3428955078125, 158.5533447265625, 156.60235595703125, 154.84161376953125, 155.1599884033203, 156.422607421875, 157.73995971679688, 155.13754272460938, 154.79600524902344, 170.6112823486328, 157.0347442626953, 156.24923706054688, 159.6309814453125, 155.424560546875, 154.8560333251953, 159.7423858642578, 158.01011657714844, 155.59231567382812, 163.84957885742188, 165.4910125732422, 174.20652770996094, 154.51205444335938, 166.3416748046875, 159.6730194091797, 158.3813018798828, 171.2545928955078, 165.70912170410156, 156.4347381591797, 179.62030029296875, 154.7698974609375, 170.64271545410156]"
0.9,LSTM,100.0,4.3270736957202685,10.0,324.45622680664064,"[-155.96923828125, -152.99099731445312, -154.9646759033203, -156.00289916992188, -144.58963012695312, -156.4142303466797, -146.46493530273438, -146.2826385498047, -154.80723571777344, -144.49331665039062, -152.8971710205078, -154.72140502929688, -153.13970947265625, -152.7530975341797, -156.05419921875, -155.96116638183594, -155.73480224609375, -145.05238342285156, -156.5231170654297, -145.17523193359375, -145.4874267578125, -152.61302185058594, -144.99244689941406, -146.6381072998047, -155.40158081054688, -146.18643188476562, -150.40853881835938, -154.8841094970703, -146.92294311523438, -155.62881469726562, -149.20436096191406, -146.8056640625, -145.9515838623047, -145.75222778320312, -149.1239013671875, -147.08221435546875, -145.1059112548828, -145.5631103515625, -146.9412841796875, -148.36947631835938, -145.4207000732422, -145.12518310546875, -156.09950256347656, -147.52487182617188, -146.70762634277344, -150.15782165527344, -145.72474670410156, -145.15846252441406, -150.28038024902344, -148.533935546875, -145.9932098388672, -153.6258087158203, -154.57843017578125, -156.54776000976562, -144.83383178710938, -154.94993591308594, -150.2340850830078, -148.9110107421875, -156.41964721679688, -154.75381469726562, -146.91940307617188, -155.3169403076172, -145.09451293945312, -156.32061767578125]","[339.5535583496094, 285.97332763671875, 309.7189636230469, 333.3883056640625, 216.8550262451172, 350.10162353515625, 230.1700439453125, 228.869384765625, 309.2789001464844, 216.37181091308594, 284.1173095703125, 311.9490051269531, 287.4583740234375, 283.6146545410156, 344.1947326660156, 333.7564697265625, 376.829833984375, 220.0909881591797, 380.2139892578125, 221.02633666992188, 223.0849151611328, 282.3077087402344, 219.6357879638672, 231.33251953125, 321.50860595703125, 228.02784729003906, 260.87762451171875, 310.1078796386719, 233.4926300048828, 322.16339111328125, 250.82614135742188, 232.6463165283203, 226.44227600097656, 225.17401123046875, 250.65904235839844, 234.66629028320312, 220.40628051757812, 223.80799865722656, 233.26834106445312, 244.47775268554688, 222.61123657226562, 220.64773559570312, 346.6884765625, 238.0102081298828, 231.9469451904297, 258.7819519042969, 224.56948852539062, 220.8447723388672, 260.2122802734375, 245.4461212158203, 226.73892211914062, 292.41229248046875, 309.25787353515625, 366.6248474121094, 218.66665649414062, 314.1927185058594, 259.8986511230469, 248.4243927001953, 348.4832458496094, 308.9774475097656, 233.47537231445312, 391.1258239746094, 220.42660522460938, 344.2806396484375]"
